Permit Number,Permittee Name,Project Name,Mechanical Treatment Type (Suspended Growth/Attached Growth),Unit Process,Plant Optimized for Nutrient Reduction (Y/N),Year of Plant Optimization,Design Flow (MGD),Actual Flow From Permit Application (MGD) ,Average Facility Flow 2019 (MGD),Average Facility Flow 2020 (MGD),Average Facility Flow 2021 (MGD),Average Facility Flow 2022 (MGD),Average Facility Flow 2023 (MGD),Parameter,Nutrient Limit or Monitoring Requirement,Frequency,Sample Type,Monthly Average (lb/day),Daily Max (lb/day),Quarterly Average (lb/day),Monthly Average (mg/L),Daily Max (mg/L),Quarterly Average (mg/L),Rolling Average (lb/yr),Annual Average (lb/day),Annual Total (lb/yr),Total Annual Effluent Loading 2019 (lb/yr),Total Annual Effluent Conentration 2019 (mg/L) [CALCULATED],Total Annual Effluent Loading 2020 (lb/yr),"Total Annual Effluent Concentration  2020 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2021 (lb/yr),"Total Annual Effluent Concentration  2021 (mg/L)
[CALCULATED]",Total Annual Effluent Loaading 2022 (lb/yr),"Total Annual Effluent Concentration 2022 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2023 (lb/yr),Total Annual Effluent Concentration 2023 (mg/L) [CALCULATED]
TN0020460,Water Authority of Dickson County,White Bluff WWTP,Suspended Growth,Oxidation Ditch,Y,2021,0.5,0.26,0.37,0.35,0.35,0.33,0.30,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,6251,5.88,4212,4.21,2949,3.24
TN0020460,Water Authority of Dickson County,White Bluff WWTP,Suspended Growth,Oxidation Ditch,Y,2021,0.5,0.26,0.37,0.35,0.35,0.33,0.30,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2716,2.56,1063,1.06,2339,2.57
TN0020478,City of Dayton,Dayton STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,2.69,2.41,2.05,2.12,1.8,1.76,1.79,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,167812,26.97,105069,16.33,156162,28.58,106302,19.90,122869,22.61
TN0020478,City of Dayton,Dayton STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,2.69,2.41,2.05,2.12,1.8,1.76,1.79,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,8215,1.32,6418,1.00,8026,1.47,6769,1.27,11732,2.16
TN0020494,Lenoir City Utilities Board,Lenoir City STP,Suspended Growth,Oxidation Ditch,N,N/A,3,1.5,1.89,1.98,1.64,1.78,1.79,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,29562,5.15,40613,6.76,24923,5.01,32183,5.96,24324,4.48
TN0020494,Lenoir City Utilities Board,Lenoir City STP,Suspended Growth,Oxidation Ditch,N,N/A,3,1.5,1.89,1.98,1.64,1.78,1.79,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,15148,2.64,16057,2.67,12201,2.45,11489,2.13,12489,2.30
TN0020508,City of Decherd,Decherd Water Works STP,Suspended Growth,Oxidation Ditch,N,N/A,2.5,0.765,0.41,0.43,0.59,0.68,0.77,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,33470,Not Limited,Not Limited,12617,10.14,11640,8.92,14082,7.86,13968,6.77,17384,7.44
TN0020508,City of Decherd,Decherd Water Works STP,Suspended Growth,Oxidation Ditch,N,N/A,2.5,0.765,0.41,0.43,0.59,0.68,0.77,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,1533,Not Limited,Not Limited,396,0.32,2163,1.66,460,0.26,37.37,0.02,1.61,0.00
TN0020541,Town of Smyrna,Smyrna STP,Suspended Growth,Oxidation Ditch,N,N/A,5.85,6.1,2.98,2.97,3.77,5.98,5.58,"Nitrogen, Total (as N)",Limit,Monthly,Composite,244,Not Limited,Not Limited,5,10,Not Limited,Not Limited,Not Limited,Not Limited,38806,4.29,15191,1.69,18504,1.62,21062,1.16,74361,4.39
TN0020541,Town of Smyrna,Smyrna STP,Suspended Growth,Oxidation Ditch,N,N/A,5.85,6.1,2.98,2.97,3.77,5.98,5.58,"Phosphorous, Total (as P)",Limit,Monthly,Composite,49,Not Limited,Not Limited,1,2,Not Limited,Not Limited,Not Limited,Not Limited,2121,0.23,2435,0.27,4257,0.37,1339,0.07,13226,0.78
TN0020575,Metro Water Services,Nashville Central STP and Combined Sewer System,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,100,102,117.6,107.84,118.38,107.29,98.43,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,996198,2.79,835105,2.55,1423876,3.96,144733,0.44,551927,1.85
TN0020575,Metro Water Services,Nashville Central STP and Combined Sewer System,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,100,102,117.6,107.84,118.38,107.29,98.43,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,39339,0.11,75061,0.23,32216,0.09,24013,0.07,21790,0.07
TN0020591,Town of Bell Buckle,Bell Buckle STP,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,0.15,0.051,0.058,0.13,0.13,0.11,0.057,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0020591,Town of Bell Buckle,Bell Buckle STP,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,0.15,0.051,0.058,0.13,0.13,0.11,0.057,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0020613,City of McKenzie,McKenzie STP,Suspended Growth,Schreiber Continuously Sequencing Reactor,N,N/A,2,0.57,0.57,0.56,0.55,0.51,0.51,"Nitrogen, Total (as N)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,44530,Not Limited,Not Limited,19863,11.48,20471,12.04,21903,13.12,26181,16.91,15719,10.15
TN0020613,City of McKenzie,McKenzie STP,Suspended Growth,Schreiber Continuously Sequencing Reactor,N,N/A,2,0.57,0.57,0.56,0.55,0.51,0.51,"Phosphorous, Total (as P)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,7665,Not Limited,Not Limited,5678,3.28,6375,3.75,5041,3.02,5235,3.38,4494,2.90
TN0020621,City of Greenbrier,Greenbrier STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.74,0.45,0.62,0.6,0.62,0.54,0.49,"Nitrogen, Total (as N)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,11263,Not Limited,Not Limited,8840,4.70,8266,4.54,10854,5.77,18943,11.56,8052,5.41
TN0020621,City of Greenbrier,Greenbrier STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.74,0.45,0.62,0.6,0.62,0.54,0.49,"Phosphorous, Total (as P)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,675,Not Limited,Not Limited,3289,1.75,2410,1.32,560,0.30,452,0.28,257,0.17
TN0020630,Norris Water Commission,City of Norris STP,Suspended Growth,Aeration Basin Conventional Plug Flow,Y,2016,0.2,0.18,0.18,0.16,0.13,0.12,0.13,"Nitrogen, Total (as N)",Limit,Weekly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,3650,Not Limited,Not Limited,4170,7.63,2937,6.05,3276,8.30,1744,4.79,2742,6.95
TN0020630,Norris Water Commission,City of Norris STP,Suspended Growth,Aeration Basin Conventional Plug Flow,Y,2016,0.2,0.18,0.18,0.16,0.13,0.12,0.13,"Phosphorous, Total (as P)",Limit,Weekly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,621,Not Limited,Not Limited,778,1.42,804,1.66,1300,3.29,153,0.42,290,0.73
TN0020648,Metro Water Services,Nashville Dry Creek STP,Suspended Growth,Aeration Basin Conventional Plug Flow,Y,2016,24,17.5,22.21,20.27,19.93,18.86,15.99,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,181945,2.70,286974,4.66,337677,5.58,262326,4.58,282503,5.82
TN0020648,Metro Water Services,Nashville Dry Creek STP,Suspended Growth,Aeration Basin Conventional Plug Flow,Y,2016,24,17.5,22.21,20.27,19.93,18.86,15.99,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,15535,0.23,25105,0.41,35434,0.59,21589,0.38,8423,0.17
TN0020656,City of Clarksville,Clarksville STP and Combined Sewer System,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,25,9.8,14.69,14.08,14.12,15.24,13.98,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,466483,10.46,324124,7.58,446156,10.41,447811,9.68,502519,11.84
TN0020656,City of Clarksville,Clarksville STP and Combined Sewer System,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,25,9.8,14.69,14.08,14.12,15.24,13.98,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,29043,0.65,19496,0.46,21717,0.51,13549,0.29,29054,0.68
TN0020672,Town of Rogersville,Rogersville STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,1.3,1.25,1.26,1.25,0.95,0.87,0.87,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,502,0.13,154,0.04,136,0.05,150,0.06,93.9,0.04
TN0020672,Town of Rogersville,Rogersville STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,1.3,1.25,1.26,1.25,0.95,0.87,0.87,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,51.9,0.01,13.81,0.00,23.15,0.01,37.35,0.01,16.6,0.01
TN0020702,City of Newport,Newport STP,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,4.35,2.8,2.77,3.04,2.62,1.7,1.68,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,24732,2.94,34195,3.71,15450,1.94,6878,1.33,12838,2.52
TN0020702,City of Newport,Newport STP,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,4.35,2.8,2.77,3.04,2.62,1.7,1.68,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,4053,0.48,3773,0.41,4229,0.53,7076,1.37,17584,3.45
TN0020711,City of Memphis,Maynard C. Stiles STP North Plant,Suspended Growth,Aeration Basin with Contact Stabilization,N,N/A,135,93.7,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Report,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,7793891,Not Recorded,5266763,Not Recorded,6773579,Not Recorded,7818071,Not Recorded,4366992,Not Recorded
TN0020711,City of Memphis,Maynard C. Stiles STP North Plant,Suspended Growth,Aeration Basin with Contact Stabilization,N,N/A,135,93.7,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,"Phosphorous, Total (as P)",Monitor,Monthly,Composite,Report,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,2737699,Not Recorded,1769693,Not Recorded,2917528,Not Recorded,2550177,Not Recorded,1692237,Not Recorded
TN0020729,City of Memphis,TE Maxson STP South Plant,Suspended Growth,Aeration Basin with Contact Stabilization,N,N/A,90,71.12,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Report,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,8090266,Not Recorded,7163267,Not Recorded,9874203,Not Recorded,6662956,Not Recorded,6566063,Not Recorded
TN0020729,City of Memphis,TE Maxson STP South Plant,Suspended Growth,Aeration Basin with Contact Stabilization,N,N/A,90,71.12,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,"Phosphorous, Total (as P)",Monitor,Monthly,Composite,Report,Not Limited,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,1464837,Not Recorded,1614062,Not Recorded,2394932,Not Recorded,1671339,Not Recorded,1156819,Not Recorded
TN0020737,Town of Ashland City,Ashland City STP,Suspended Growth,Oxidation Ditch,N,N/A,0.8,0.83,0.8,0.75,0.8,0.74,0.69,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,23399,10.28,5110,2.10,9146,4.07,9109,4.35
TN0020737,Town of Ashland City,Ashland City STP,Suspended Growth,Oxidation Ditch,N,N/A,0.8,0.83,0.8,0.75,0.8,0.74,0.69,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,967,0.42,139,0.06,2163,0.96,9834,4.70
TN0020753,Town of Huntsville,Huntsville STP,Both,Membrane Biofilm Reactor,N,N/A,0.3,0.171,0.17,0.19,0.16,0.15,0.14,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,386,0.75,671,1.16,544,1.12,915,2.01,960,2.26
TN0020753,Town of Huntsville,Huntsville STP,Both,Membrane Biofilm Reactor,N,N/A,0.3,0.171,0.17,0.19,0.16,0.15,0.14,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,40.1,0.08,107,0.19,130,0.27,210,0.46,182,0.43
TN0020800,City of Mount Pleasant,Mount Pleasant STP,Suspended Growth,Oxidation Ditch,N,N/A,0.9,0.52,0.48,0.61,0.61,0.52,0.52,"Nitrogen, Total (as N)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,12323,Not Limited,Not Limited,9094,6.24,8090,4.37,10192,5.50,9969,6.32,10182,6.45
TN0020800,City of Mount Pleasant,Mount Pleasant STP,Suspended Growth,Oxidation Ditch,N,N/A,0.9,0.52,0.48,0.61,0.61,0.52,0.52,"Phosphorous, Total (as P)",Limit,Weekly/Annual,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,2310,Not Limited,Not Limited,912,0.63,2047,1.11,1090,0.59,791,0.50,779,0.49
TN0020877,City of Lafayette,Lafayette STP,Suspended Growth,Sequencing Batch Reactor,Y,2016,1.5,0.568,0.96,0.95,0.71,0.7,0.83,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,22831,Not Limited,Not Limited,9264,3.18,8159,2.83,6588,3.06,7810,3.68,8553,3.39
TN0020877,City of Lafayette,Lafayette STP,Suspended Growth,Sequencing Batch Reactor,Y,2016,1.5,0.568,0.96,0.95,0.71,0.7,0.83,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,2283,Not Limited,Not Limited,1131,0.39,1161,0.40,1384,0.64,934,0.44,1045,0.41
TN0020885,Town of Oliver Springs,Oliver Springs STP,Suspended Growth,Oxidation Ditch,N,N/A,0.74,0.74,0.73,0.95,0.78,0.76,0.78,"Nitrogen, Total (as N)",Limit,Weekly/Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,30782.8,Not Limited,Not Limited,28015,12.64,37745,13.09,26081,11.02,26703,11.58,23673,10.00
TN0020885,Town of Oliver Springs,Oliver Springs STP,Suspended Growth,Oxidation Ditch,N,N/A,0.74,0.74,0.73,0.95,0.78,0.76,0.78,"Phosphorous, Total (as P)",Limit,Weekly/Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,4830.2,Not Limited,Not Limited,3038,1.37,6058,2.10,5133,2.17,3674,1.59,3026,1.28
TN0020982,City of Covington,Covington STP,Suspended Growth,Oxidation Ditch,N,N/A,3.62,2,2.19,2.15,1.99,8.4,1.97,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,38815,5.84,8424,1.29,1904,0.32,8298,0.33,5719,0.96
TN0020982,City of Covington,Covington STP,Suspended Growth,Oxidation Ditch,N,N/A,3.62,2,2.19,2.15,1.99,8.4,1.97,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,3240,0.49,3652,0.56,1428,0.24,1280,0.05,929,0.16
TN0021067,City of Millington,Millington Wastewater Treatment Plant,Suspended Growth,Oxidation Ditch,Y,2016,5.8,2.53,2.85,2.27,2.22,1.84,1.9,"Nitrogen, Total (as N)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,175565,129153,14.93,143056,20.76,247438,36.72,119748,21.44,105662,18.32
TN0021067,City of Millington,Millington Wastewater Treatment Plant,Suspended Growth,Oxidation Ditch,Y,2016,5.8,2.53,2.85,2.27,2.22,1.84,1.9,"Phosphorous, Total (as P)",Limit,Twice A Month,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,18615,7772,0.90,13343,1.94,7892,1.17,7295,1.31,7644,1.33
TN0021105,Town of Rutledge,Rutledge STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.2,0.14,0.15,0.15,0.14,0.15,0.13,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0021105,Town of Rutledge,Rutledge STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.2,0.14,0.15,0.15,0.14,0.15,0.13,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0021121,City of Baxter,Baxter STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.5,0.31,0.27,0.25,0.25,0.25,0.22,"Nitrogen, Total (as N)",Limit,Quarterly/Annual,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,15.3,Not Limited,1896,2.31,1189,1.57,770,1.01,3062,4.04,2166,3.24
TN0021121,City of Baxter,Baxter STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.5,0.31,0.27,0.25,0.25,0.25,0.22,"Phosphorous, Total (as P)",Limit,Quarterly/Annual,Composite,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,4.9,Not Limited,468,0.57,447,0.59,317,0.42,695,0.92,1052,1.58
TN0021199,Jefferson City,Jefferson City STP,Attached Growth,Trickling Filter ,N,N/A,1,1.37,1.05,1.17,1.04,1.09,0.77,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,58124,18.24,99054,27.89,100933,31.97,6352,1.92,3562,1.52
TN0021199,Jefferson City,Jefferson City STP,Attached Growth,Trickling Filter ,N,N/A,1,1.37,1.05,1.17,1.04,1.09,0.77,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,3716,1.17,8160,2.30,7661,2.43,651,0.20,911,0.39
TN0021211,Hamilton County Water & Wastewater Treatment Authority (WWTA),Signal Mountain STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.4,0.63,0.78,0.85,0.9,0.86,0.7,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0021211,Hamilton County Water & Wastewater Treatment Authority (WWTA),Signal Mountain STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.4,0.63,0.78,0.85,0.9,0.86,0.7,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
